Dagaare,English
zie,time
ziezaa,everywhere
zigi,python
zigi,   to grow in size 
zigi,   to grow more leaves  yam vine 
zigiree,gravel
zigizukpara,a monster  in the form of a two-headed python
zigoo,showing no concern for others
zii,thick  foliage of a tree  used only in this situation 
zĩi,not clear
zikuoŋaa,dry place
zikpeɛraa,inhabitance
zikyɛnfeɛle,cold early morning
zimaale,development
zimaaliire,dusk
zimaane,evening
zimaaroŋ,cool or wet place
zimaavɛ̃ɛ,evening  between four-thirty and five o’clock
zimaavɛnɛvɛnɛ,dusk
zimezime,of considerable weight
zimɛrɛmɛrɛ,muddy place
zinziŋ,very heavy
zinyaane,dawn
ziŋi,to pound vigorously
zipigi,a type of large brown antelope with white spots on its sides
ziponsentaa,midnight
zirii,a lie or lies
ziriŋ,lies
ziriŋmaara,liar
ziriŋma,the act of lying
zisɔgelaa,   dark place  
zisɔgelaa, hiding place
zitɔɔre,distant place
zivelaa,good place
zivɛlemɛ,dawn
ziyuo,modernization
zo,   to run 
zo,  to run away
zoge,to thicken
zogele,to develop large rashes
zogelɔŋ,thick and attached to
zogere,to shake vigorously
zogere,to become thick or hard
zogetogo,thick and wool-like
zogboŋgboli,the thickest part of an animal’s tail that is long
zokpore,the bottom end of the spinal cord
zolaa,pot with a very small mouth
zolaa,big
zoma,instinct
zombaa,catfish
zomberemɛ,a type of tree with medicinal properties
Zombɛnte,a religious festival of Southern Dagao
zombɛraa,fishhook
zombiri,insult
zomm,still
zommo,fish
zomɔ,instinct
zompɛge,fish scale
zompĩi,fishhook
zone,insult
zonkyoo,fishing net
zonne,to take short
zonne,to shake  from sudden shock 
zonni,to hesitate
zonnyɔge,the practice of fishing
zonnyɔgerɔ,fisherman
zonsaalaa,a type of fish with a flat head and two fins and a very slippery body
zonsɔgelaa,a type of black mudfish with a flat head
zontalane,gill
zonwaabo,eel
zo nyonono,to have mercy
zoŋe,to shake  person 
zoŋkoroŋ,grotesque  hideous
zoŋkɔɔre,fish bone
zõo,dull
zoore,tail
zoore,smoke
zõɔ,rust  typically used with le 
zoɔle,to wither
zori,to hold the hand in anticipation for food
zorre,shudder
zo vi,   to be shy  
zo vi, to be ashamed
zɔ,   father  
zɔ,  friend  between males 
zɔba,the act of pestering
zɔbɔ,the act of pestering
zɔla,a type of guinea corn
zɔle,fool
zɔle,to be related to people
zɔlɔ,a type of guinea corn
zɔmpɔrɔŋ,of considerable size
zɔnne,blindness
zɔnnoŋ,blindness
zɔnzɔrema,cobweb
zɔnzɔremɔ,cobweb
zɔŋa,blind person
zɔŋe,   flour  
zɔŋe, pulp
zɔŋe,to be blind
zɔŋe,blind person
zɔŋkõɔ,   food for workers at work 
zɔŋkõɔ,  water mixed with flour
zɔŋkɔŋ-ɔnnɔ,one who cooks workers’ food
zɔŋɔ,blind person
zɔɔ,ambush
zɔɔ,long and flowing e.g. hair
zɔɔ,to fight
zɔ̃ɔ,to ride
zɔɔ-bɔ,the act of irritating others
zɔɔre,shudder
zɔbɔ,the act of pestering
zɔla,a type of guinea corn
zɔle,fool
zɔle,to be related to people
zɔlɔ,a type of guinea corn
zɔmpɔrɔŋ,of considerable size
zɔnne,blindness
zɔnnoŋ,blindness
zɔnzɔrema,cobweb
zɔnzɔremɔ,cobweb
zɔŋa,blind person
zɔŋe,flour  
zɔŋe, pulp
zɔŋe,blind person
zɔŋkõɔ,food for workers at work 
zɔŋkõɔ,water mixed with flour
zɔŋkɔŋ-ɔnnɔ,one who cooks workers’ food
zɔŋɔ,blind person
zɔɔ,ambush
zɔɔ,long and flowing e.g. hair
zɔɔ,to fight
zɔɔre,quarrel
zɔɔzeele,silky flower on a corncob
zɔzɔ,reduced to minimal  rainfall 
zu,head
zu,to steal
zu,on top of
zubɛroŋ,strong and dangerous animal 
zubɛroŋ, leader  often political 
zubie,misfortune
zudaa,backbone  that which one relies on
zufaa,ill fate
zugane,skin of the head
zugi,to turn a container upside down to bring out all the contents
zugilaa,bellows
zugiri,to shake in order to know whether there something inside e.g. closed tin
zugizaga,huge and heavy e.g. mallet
zugi zugi,moving through in numbers e.g. spectators
zugboli,a shaven head 
zugboli, a head that is carrying something without a pad
zuiŋ,"because,
zuiŋ, as a result  
zuiŋ, so"
zukoɔre,skull
zukɔgeraa,pillow
zukɔɔloŋ,hair
zukuri,back  body 
zukpala,bald head
zukpeɛne,hardheadedness
zukpeɛŋaa,hardheaded
zukpoli,   a shaven head 
zukpoli,  a head that is carrying something without a pad
zukyuu,ritual hair
zulee,large at one end
zuleɛrɛ,successor
zuli,   to be unbalanced
zulibala,disproportionately big
zulimo,   uneven
zuluŋ,deep
zuluŋ,army ant
zu-maala,hairdresser
zumaaroŋ,headache  concentrated around the forehead 
zunoɔ,fortune
zunzugiri,large isolated cloud
zuŋ,on top of
zuŋmaara,executioner
zuŋmane,skull
zuŋmanekoɔ,suffering
zuŋmane kõɔ,great suffering  typically used with nyu 
zuo,   to be more than  
zuo, to be too much  
zuo, to pass someone by
zu-ɔɔ,the condition of having a headache
zupili,hat
zupiltobo,a hat that covers the ears
zupoli,sinciput  the front of the skull 
zu-pono,barber
zu pozu,to gossip
zusãa,  immorality 
zusãa,  the practice of vice
zusaana,one who preaches vice
zusaanaa,the act of engaging in evil practices
zusoga,above
zusogɔ,above
zutage,hardheaded
zutalaa,headdress
zutuo,misfortune
zuu,huge and heavy
zuuni,to stoop
zuyɔɔ,head tax
zuzeɛ,leader
zuzeɛ,red-haired person
zu zɔŋe,to be ashamed
zuzuu,monstrous
n mengɛ,myself
maa mengɛ,myself
fo mengɛ,yourself
foo mengɛ,yourself
o mengɛ,him- herself
onɔ mengɛ, herself
te menne,ourselves
tenee menne,ourselves
yɛ menne,yourselves
yɛnee menne,"you, yourselves"
ba menne,themselves
bana menne,"they, themselves"
a menne,themselves  non-human 
ana menne,they themselves  non-human 
Nimirinayɔɔ la nimiri sane,An eye for an eye and tooth for a tooth
vɛŋ ka fo gaa mɛɛle ayi ne o,To go the extra mile
ka o de koɔ a neba niŋe eŋe a pɛge o nuuri,Wash your hands of the matter
"Ta ko bare boŋ naŋ e bonsoŋ, bee lɔɔ yɛ lɛpɛl-veɛlaa eŋ dobaare poɔ",To cast pearls before swine
"A soba na zaa naŋ ba taa yelbieri a yɛpoɔ, yɛ vɛŋ ka o de weɛ de kuurii za neŋ a pɔgo",To cast the first stone People who live in glass houses must not throw stones
a nimiri zaŋnoo poɔ,In By the twinkling of an eye
yɛ le la yi a nɔndeteroo sobiri poɔ,To fall from grace to grass
ta le a nakuoraa na noɔre naŋ nɛbrɛ a bombie,Do not muzzle out the ox that treads the grain
Tutaafaare maŋ saaŋ la eveɛle,Bad company ruins good morals
"Ka zɔŋ wa tagra zɔŋ, ba zaa bayi na laŋ le la a bɔg poɔ","If the blind lead the blind, both will fall in a pit"
Yiri na zaa naŋ poŋ kyaare ne o meŋɛ koŋ toɔ are,No city or house divided against itself will stand
Nensaala Bidɔɔ,The Son of man
A baroo saŋ mannoo,Signs of the times
Zimanee gogori anuu saŋ,The eleventh hour
Nanyigiri die,Den of thieves
Peɛle eelɛ,Sounding your trumpet
Balaŋ naŋ voɔ a soɔ na bɔre wɛ la a soɔ eŋɛ,All who take the sword will perish by the sword
"A kuuri na mɛmeɛrebɛ naŋ zagre, waa la a goŋgonaa zukuuri","The stone that the builders rejected, has become the cornerstone"
Kyɛ a sobiri naŋ gɛrɛ a Nyɔvore zie ne a be dendɔree la bile,Straight and narrow
Neɛ bamaŋ de pɛmpaala a liiri ne kparekora,No man seweth a piece of new cloth on an old garment
Samaria Dɔɔvelaa,Good Samaritan
Voore O vooroŋ pare baara,Breathed His last He gave up the ghost
"Dire, nyuuro, a nyɛrɛ popeɛloŋ","Eat, drink and be merry"
Nyɛrɛ a kyaane,See the light
Ta bale,Not lose heart
Yiri kaŋa zaa naŋ poŋ kyaare ne o meŋɛ na le la,Divided we fall
Tuo dagara,A cross you have to bear
Kaara lɛ nensaala naŋ waa kyɛ dire o sarɛɛ,Don’t judge by appearances
"A soba na naŋ ba taa yelbieri zaa a yɛ poɔ, yɛ vɛŋ ka o de weɛ de kuurii za",Cast the first stone
Yɔ-ŋmaabo e la sukyiri bone,Circumcision of the heart
De fo nyɔvore ko,Risk your neck
A nimiri zaŋbo poɔ,Twinkling of an eye
Goɔ da kyɔge ma la,A thorn in the flesh
Ye le la yi a nɔndeteroo sobiri poɔ,Fall from grace
"Bon na neɛ naŋ bore, onɔ la ka o na kyɛ","Whatever one sows, that will he reap"
Bonso libie nɔmmo la a yelfaa eroŋ yaga piilu zie,The love of money is a root of all kinds of evil
"Kŏɔnoɔ ane kŏɔtuo natŏɔ bullo yire la ziyenaa bee?…Can a fig tree bear olives, or a grapevine produce figs?","Does a spring pour forth from the same opening both fresh and salt water?…Can a fig tree bear olives, or a grapevine produce figs?"
Bille mɛmɛrɛ poɔ,Wallowing in the mire
Baa maŋ leɛ di la o meŋɛ tiiri,The dog returns to his own vomit
Tuori,God speed
Ba waa maaroŋ bee toloŋ,Lukewarm
Poore bare,Spit out of
"Nimiri na yɔɔ la nimiri sane, ka nyene, meŋ na yɔɔ la nyenee sane","An Eye for an eye, and a tooth for a tooth."
…vɛŋ ka fo gaa mɛɛle ayi ne o,…go with him two  i.e. To go the extra mile 
…ka o de koɔ…a pɛge o nuuri…,...washed his hands of the matter
"Ta ko bare boŋ naŋ e bonsoŋ, bee lɔɔ yɛ lɛpɛl-veɛlaa eŋ dobaare poɔ",Do not give dogs what is holy  =To cast pearls before swine KJV 
"A soba na zaa naŋ ba taa yelbieri a yɛ poɔ, yɛ vɛŋ ka o de weɛ de kuurii zaneŋ a pɔgo",Be the first to throw a stone at.
… a nimiri zaŋnoo poɔ…,In the twinkling of an eye
… yɛ le la yi a nɔndeteroo sobiri poɔ,Fallen away from grace.  To fall from grace 
…ta le a nakuoraa na noɔre naŋ nɛbrɛ a bombie,You shall not muzzle out an ox when it treads out the grain.
Tutaafaare maŋ saaŋ la eveɛle.,Bad company ruins good morals.
Baa maŋ leɛ di la o meŋɛ tiiri,The dog returns to its own vomit.
"Ka zɔŋ wa ta-gra zɔŋ, ba zaa bayi na laŋ le la a bɔg poɔ.",The blind leading the blind.
Yiri na zaa naŋ poŋ kyaare ne o meŋɛ koŋ toɔ are.,A house divided against itself
Nensaala Bidɔɔ,The Son of man
A baroosaŋ mannoo,Signs of the times
Zimanee gogori anuu saŋ,The eleventh hour
Nanyigiri die Nanyigi baa ,Den of thieves
Peɛle eelɛ  fara bara ,Sounding your trumpet
Balaŋ naŋ voɔ a soɔ na bɔrewɛ la a soɔ eŋɛ,He who lives by the sword dies by the sword.
"A kuuri na mɛmeɛrebɛ naŋ zagre, waa la a goŋgonaazukuuri","The stone which the builders rejected, the same became the head of the corner."
Kyɛ a sobiri naŋ gɛrɛ a Nyɔvore zie ne a be dendɔre e la bile.,Straight and narrow.
Neɛ ba maŋ de pɛmpaala a liiri ne kparekora.,No man seweth a piece of new cloth on an old garment.
Samaria Dɔɔvelaa  Nensoŋ bie ,Good Samaritan
Voore O vooroŋ pare baara.,He gave up the ghost
"Dire, nyuuro, a nyɛrɛ popeɛloŋ","Eat, drink and be merry"
Nyɛrɛ a kyaane,See the light
Ta bale,Not lose heart
Yirikangzaanang pong kyaare ne o mengena le la,Divided we fall
Tuo dagara,A cross you have to bear
Kaara lɛ nensaala naŋ waa kyɛ dire o sarɛɛ,Don’t judge by appearances
"A soba na naŋ ba taa yelbieri zaa a yɛ poɔ, yɛ vɛŋ ka o de weɛ de kuurii za...",Cast the first stone.
Yɔ-ŋmaabo e la sukyiri bone.,Circumcision of the heart
De fo nyɔvore ko,Risk your neck
A nimiri zaŋbo poɔ,Twinkling of an eye
Goɔ da kyɔge ma la,A thorn in the flesh
Ye le la yi a nɔndeteroo sobiri poɔ,Fall from grace
"Bon na neɛ naŋ bore, onɔ la ka o meŋ na kyɛ  Neɛ zaa waseɛroŋ maŋ o nuore .","Whatever a man soweth, that shall he also reap."
Bonso libie nɔmmo la a yelfaa eroŋ yaga piilu zie.,The love of money is the root of all evil.
"Kŏɔnoɔ ane kŏɔtuo na tŏɔ bullo yire la ziyenaa bee? N yɔɔ mine, kaŋkaŋteɛ natŏɔ wɔŋ la ɔlevewɔmɔ bee? Ora na tŏɔ wɔŋ la kaŋkama?",Does a fountain send forth at the same place sweet water and bitter…Can a fig tree bear olive berries?
Bille mɛmɛrɛ poɔ,Wallowing in the mire.
Tuori,God speed
Ba waa maaroŋ bee toloŋ,Lukewarm
Poore bare,Spew out
Bónè,Thing
lááné,worthless
Bón-lááné,A worthless thing
Bónè,Thing
léé,small
Bón- léé,A small thing
Bónè,Thing
páálà,new
Bón-páálà,New things
Bónè,Thing
mááróng,wet
Bón-mááróng,A wet thing
Bèbír,Day
sóng,good
Bèbí-sóng,Good day
nóɔ́rè,Mouth
fáá,bad
nɔ́-fáá,Rudeness
nóɔ́rè,Mouth
nòɔ́,sweet
nɔ́-nòɔ́,Convincing
dɔ́ɔ́,Man
léé,small
dɔ̀ɔ̀-léé,Small boy
néɛ̀,Person
fáá,bad
Néng-fáá,Bad person
Bìé,Child
fáá,bad
Bì-fáá,Bad child
Pììrí,Rock
fáá,bad
Pì-fáá,Bad rock
Kùùrí,Hoe
fáá,bad
Kù-fáá,Bad hoe
góɔ̀,Thorn
fáá,bad
Gó↑-fáá,Bad thorn
Póɔ̀,Stomach
fáá,bad
Pò-fáá,Wickedness
nʊ́ɔ́rɪ̀,Mouth
fáá,bad
nɔ́!-fáá,Bad mouth
Dòbáá,Pig
faa,bad
Dòbà-fáá,Bad pig
gbɛ́rɪ̀,Leg
fáá,bad
gbɛ́-!fáá,Ill luck
Báá,Dog
léé,small
Bà-leé,Puppy
Bàá,River
kpóǹg,big
Bà-kpóǹg,Large river
Báá,Dog
zèlé,tongue
Bà-zèlé,The tongue of a dog
Bèbírì,Day
tɔ̀ɔ̀ré,far
Bèbí-tɔ̀ɔ̀ré,A distant date
bɛ́ngɛ̀,Beans
kórɔ́,old
bɛ́ng-kórɔ́,Old beans
Bìé,Child
sòńg,good
Bì-sòńg,A good child
Bóɔ́,Goat
léé,small
Bò-léé,Little goat
Bóndìríì,Food
káráá,raw
bóndì-káráá,Raw food
Bónè,Thing
fáá,bad
Bón-fáá,A bad thing
Bónè,Thing
fẽ́e͂́,small
Bón-fẽ́e͂́,A small
Bónè,Thing
kyɛ́léé,half
Bón-kyɛ́léé,A half thing
Bónè,Thing
nòɔ̀,sweet
Bón-nòɔ̀,A sweet thing
Bónè,Thing
sààlàá,smooth
Bón-sààlàá,A smooth thing
Bónè,Thing
sààlóng,slippery
Bón-sààlóng,A slippery thing
Bónè,Thing
sáánà,strange
Bón-sáánà,A strange thing
Bónè,Thing
vèláà,good
Bón-vèláà,A good thing
Bónè,Thing
zèɛ̀,red
Bón-zèɛ̀,A red thing
Bónè,Thing
kṹṹ,dead
Bón-kṹṹ,A dead thing
Dã́ã̀,Drink
zèɛ̀,white
Dàá,Stick
léé,small
Dà-léé,A dry twig
éngɛ́,Body
túò,bitter
Én-túò,Laziness
gbɛ́rɪ̀,Leg
vèlàá,good
gbɛ́-vèlàá,Good luck
kṍɔ͂́,Water
sóng,good
kɔ̀n-sóng,Holy water
Lìbírì,Money
pèláá,white
Lìbí-pèláá,Cowry
Mǎ,Mother
bílé,small
Mà-bílé,Maternal aunt
Néɛ̀,Person
pááláá,new
Néng-pááláá,A new person
Néɛ̀,Person
pèláà,white
Néng-pèláà,A white person
Néɛ̀,Person
fàà,bad
Nén-fàà,A bad person
Néɛ̀,Person
lááné,worthless
Nén-lááné,a worthless person
Néɛ̀,Person
sóng,good
Nén-sóng,a good person
Néɛ̀,Person
sɔ́gláá,black
Nén-sɔ́gláá,a black person
Nóɔ́rè,Mouth
làng,together
nɔ́-làng,unity
Núbìŕ,Finger
léé,small
Nú-bìléé,Little finger
Núbìrì,Finger
wóg̀,long
Núbi-wóg̀,"long-fingered-ness 
Núbi-wóg̀"""
Póɔ̀,Stomach
vèláà,good
Pò-vèláá,sincere
Súúrí,Anger
tólóng,hot
Sù-tólóng,Quick tempered
Nímírì,Eye
zèɛ́,red
Nímí-zèɛ́,seriousness
Nímírì,Eye
tɔ́ɔ́ré,far
Nímí-tɔ́ɔ́ré,ahead
Nímírì,Eye
tììrúng,bitter
Nímí-tììrúng,wickedness
Nóɔ̀dáá,Fowl male
léé,small
nɔ́dà-léé,A cockerel
Nóɔ́rè,Mouth
kpéɛ́né,hard
nɔ́↓-kpéɛ́né,Argumentative
Nû,Hand
dɛ́gérè,dirty
Nú-dɛ́gérè,Dirty hands
Nóɔ̀,Fowl
léé,small
nɔ̀-léé,A chick
Nú,Hand
láámá,idle
Nú-láámá,"Idleness
Nú-láámá, laziness
Nú-láámá, boredom"
kɔ̀kɔ̀láà,Cat
wéɛ́mɛ́,Bush wild
kɔ̀kɔ́l-wéɛ́mɛ́,Wild cat
ko͂̀ɔ͂́,water
mááróng,cold
kɔ̀ng-mááróng,Cold water
ko͂̀ɔ͂́,water
míírûng,sour
kɔ̀ng-míírûng,"Sour water, mostly used in preparing T.Z"
ko͂̀ɔ͂́,water
zùlúng,deep
kɔ̀n-zùlúng,Deep water
kúrí,metal
zèɛ́,red
Kùrì-zèɛ́,Brass copper  metal 
Mírì,rope
pèlàá,white
Mí-pélàá,White rope
Mírì,rope
zèɛ́,red
Mí-zèɛ́,Red rope
móɔ́,grass
máárà,fresh
mɔ̀máárà,Fresh grass
nááb↓ó,cow
léé,small
Náá-léé,Calf
nɛ́nè,meat
káráá,raw
nɛ́nkáráá,Raw meat
ngmáángà,monkey
zèɛ̀,red
Ngmàà-zèɛ̀,a type of monkey  tone change 
ngmánéé,dove
zèɛ́,red
Ngmǎn-zèɛ́,a type of dove  tone change 
pɔ́gé,woman
póɔ́,pregnant
pɔ̀g-póɔ́,Pregnant  tonal change 
Sã̀ã̀,father
bìlé,small
Sã̀ã̀-bílé,Paternal uncle
sáábó,Type of food
dógè,pot
Sàà-dógè,Cooking pot
sáábó,Type of food
tólóng,hot
sàà-tólóng,Hot T.Z  tone change 
téngɛ́,ground
tólóng,hot
Tén-tólóng,Hot ground dry season
tɛ́né,soil
pèɛ̀lońg,whiteness
tɛ́m-pèlàá,ash
Bìé,Child
dɔ́ɔ́,man
Bɛ́ngɛ̀,Beans
dá↓á,stick
Báá,Dog
zẽ̀e͂́,blood
Bɛ́ngɛ̀,Beans
zɔ́ǹg,flour
Bóɔ́,Goat
dáá,male
Bóndìríì,Food
zíé,place
Bónè,Thing
nyáà,chest
Dã́ã̀,Drink
dìé,room
Dã́ã̀,Drink
dógè,pot
Dã́ã̀,Drink
nyúúrò,one who drinks
Dàá,Tree
pɛ́gé,peels
Dɔ́ɔ́,Man
dã́ã̀,drink
Dúórùng,Urine
láá,bowl
Góɔ̀,Thorn
tèɛ́,tree
Gánè,Book
bɔ̀ng,know
